domain,NS,IP
CATHOLIC,192.0.2.1
CBA,192.0.2.1
CBN,192.0.2.1
CBRE,192.0.2.1
CC,192.0.2.1
CD,192.0.2.1
CENTER,192.0.2.1
CEO,192.0.2.1
CERN,192.0.2.1
CF,192.0.2.1
CFA,192.0.2.1
CFD,192.0.2.1
CG,192.0.2.1
CH,192.0.2.1
CHANEL,192.0.2.1
CHANNEL,192.0.2.1
CHARITY,192.0.2.1
CHASE,192.0.2.1
CHAT,192.0.2.1
CHEAP,192.0.2.1
CHINTAI,192.0.2.1
CHRISTMAS,192.0.2.1
CHROME,192.0.2.1
CHURCH,192.0.2.1
CI,192.0.2.1
CIPRIANI,192.0.2.1
CIRCLE,192.0.2.1
CISCO,192.0.2.1
CITADEL,192.0.2.1
CITI,192.0.2.1
CITIC,192.0.2.1
CITY,192.0.2.1
CK,192.0.2.1
CL,192.0.2.1
CLAIMS,192.0.2.1
CLEANING,192.0.2.1
CLICK,192.0.2.1
CLINIC,192.0.2.1
CLINIQUE,192.0.2.1
CLOTHING,192.0.2.1
CLOUD,192.0.2.1
CLUB,192.0.2.1
CLUBMED,192.0.2.1
CM,192.0.2.1
CN,192.0.2.1
CO,192.0.2.1
COACH,192.0.2.1
CODES,192.0.2.1
COFFEE,192.0.2.1
COLLEGE,192.0.2.1
COLOGNE,192.0.2.1
COM,192.0.2.1
COMMBANK,192.0.2.1
COMMUNITY,192.0.2.1
COMPANY,192.0.2.1
COMPARE,192.0.2.1
COMPUTER,192.0.2.1
COMSEC,192.0.2.1
CONDOS,192.0.2.1
CONSTRUCTION,192.0.2.1
CONSULTING,192.0.2.1
CONTACT,192.0.2.1
CONTRACTORS,192.0.2.1
COOKING,192.0.2.1
COOL,192.0.2.1
COOP,192.0.2.1
CORSICA,192.0.2.1
COUNTRY,192.0.2.1
COUPON,192.0.2.1
COUPONS,192.0.2.1
COURSES,192.0.2.1
CPA,192.0.2.1
CR,192.0.2.1
CREDIT,192.0.2.1
CREDITCARD,192.0.2.1
CREDITUNION,192.0.2.1
CRICKET,192.0.2.1
CROWN,192.0.2.1
CRS,192.0.2.1
CRUISE,192.0.2.1
CRUISES,192.0.2.1
CU,192.0.2.1
CUISINELLA,192.0.2.1
CV,192.0.2.1
CW,192.0.2.1
CX,192.0.2.1
CY,192.0.2.1
CYMRU,192.0.2.1
CYOU,192.0.2.1
CZ,192.0.2.1
DABUR,192.0.2.1
DAD,192.0.2.1
DANCE,192.0.2.1
DATA,192.0.2.1
DATE,192.0.2.1
DATING,192.0.2.1
DATSUN,192.0.2.1
DAY,192.0.2.1
DCLK,192.0.2.1
DDS,192.0.2.1
DE,192.0.2.1
DEAL,192.0.2.1
DEALER,192.0.2.1
DEALS,192.0.2.1
DEGREE,192.0.2.1
DELIVERY,192.0.2.1
DELL,192.0.2.1
DELOITTE,192.0.2.1
DELTA,192.0.2.1
DEMOCRAT,192.0.2.1
DENTAL,192.0.2.1
DENTIST,192.0.2.1
DESI,192.0.2.1
DESIGN,192.0.2.1
DEV,192.0.2.1
DHL,192.0.2.1
DIAMONDS,192.0.2.1
DIET,192.0.2.1
DIGITAL,192.0.2.1
DIRECT,192.0.2.1
DIRECTORY,192.0.2.1
DISCOUNT,192.0.2.1
DISCOVER,192.0.2.1
DISH,192.0.2.1
DIY,192.0.2.1
DJ,192.0.2.1
DK,192.0.2.1
DM,192.0.2.1
DNP,192.0.2.1
DO,192.0.2.1
DOCS,192.0.2.1
DOCTOR,192.0.2.1
DOG,192.0.2.1
DOMAINS,192.0.2.1
DOT,192.0.2.1
DOWNLOAD,192.0.2.1
DRIVE,192.0.2.1
DTV,192.0.2.1
DUBAI,192.0.2.1
DUNLOP,192.0.2.1
DUPONT,192.0.2.1
DURBAN,192.0.2.1
DVAG,192.0.2.1
DVR,192.0.2.1
DZ,192.0.2.1
EARTH,192.0.2.1
EAT,192.0.2.1
EC,192.0.2.1
ECO,192.0.2.1
EDEKA,192.0.2.1
EDU,192.0.2.1
EDUCATION,192.0.2.1
EE,192.0.2.1
EG,192.0.2.1
EMAIL,192.0.2.1
EMERCK,192.0.2.1
ENERGY,192.0.2.1
ENGINEER,192.0.2.1
ENGINEERING,192.0.2.1
ENTERPRISES,192.0.2.1
EPSON,192.0.2.1
EQUIPMENT,192.0.2.1
ER,192.0.2.1
ERICSSON,192.0.2.1
ERNI,192.0.2.1
ES,192.0.2.1
ESQ,192.0.2.1
ESTATE,192.0.2.1
ET,192.0.2.1
EU,192.0.2.1
EUROVISION,192.0.2.1
EUS,192.0.2.1
EVENTS,192.0.2.1
EXCHANGE,192.0.2.1
EXPERT,192.0.2.1
EXPOSED,192.0.2.1
EXPRESS,192.0.2.1
EXTRASPACE,192.0.2.1
FAGE,192.0.2.1
FAIL,192.0.2.1
FAIRWINDS,192.0.2.1
FAITH,192.0.2.1
FAMILY,192.0.2.1
FAN,192.0.2.1
FANS,192.0.2.1
FARM,192.0.2.1
FARMERS,192.0.2.1
FASHION,192.0.2.1
FAST,192.0.2.1
FEDEX,192.0.2.1
FEEDBACK,192.0.2.1
FERRARI,192.0.2.1
FERRERO,192.0.2.1
FI,192.0.2.1
FIDELITY,192.0.2.1
FIDO,192.0.2.1
FILM,192.0.2.1
FINAL,192.0.2.1
FINANCE,192.0.2.1
FINANCIAL,192.0.2.1
FIRE,192.0.2.1
FIRESTONE,192.0.2.1
FIRMDALE,192.0.2.1
FISH,192.0.2.1
FISHING,192.0.2.1
FIT,192.0.2.1
FITNESS,192.0.2.1
FJ,192.0.2.1
FK,192.0.2.1
FLICKR,192.0.2.1
FLIGHTS,192.0.2.1
FLIR,192.0.2.1
FLORIST,192.0.2.1
FLOWERS,192.0.2.1
FLY,192.0.2.1
FM,192.0.2.1
FO,192.0.2.1
FOO,192.0.2.1
FOOD,192.0.2.1
FOOTBALL,192.0.2.1
FORD,192.0.2.1
FOREX,192.0.2.1
FORSALE,192.0.2.1
FORUM,192.0.2.1
FOUNDATION,192.0.2.1
FOX,192.0.2.1
FR,192.0.2.1
FREE,192.0.2.1
FRESENIUS,192.0.2.1
FRL,192.0.2.1
FROGANS,192.0.2.1
FRONTIER,192.0.2.1
FTR,192.0.2.1
FUJITSU,192.0.2.1
FUN,192.0.2.1
FUND,192.0.2.1
FURNITURE,192.0.2.1
FUTBOL,192.0.2.1
FYI,192.0.2.1
GA,192.0.2.1
GAL,192.0.2.1
GALLERY,192.0.2.1
GALLO,192.0.2.1
GALLUP,192.0.2.1
GAME,192.0.2.1
GAMES,192.0.2.1
GAP,192.0.2.1
GARDEN,192.0.2.1
GAY,192.0.2.1
GB,192.0.2.1
GBIZ,192.0.2.1
GD,192.0.2.1
GDN,192.0.2.1
GE,192.0.2.1
GEA,192.0.2.1
GENT,192.0.2.1
GENTING,192.0.2.1
GEORGE,192.0.2.1
GF,192.0.2.1
GG,192.0.2.1
GGEE,192.0.2.1
GH,192.0.2.1
GI,192.0.2.1
GIFT,192.0.2.1
GIFTS,192.0.2.1
GIVES,192.0.2.1
GIVING,192.0.2.1
GL,192.0.2.1
GLASS,192.0.2.1
GLE,192.0.2.1
GLOBAL,192.0.2.1
GLOBO,192.0.2.1
GM,192.0.2.1
GMAIL,192.0.2.1
GMBH,192.0.2.1
GMO,192.0.2.1
GMX,192.0.2.1
GN,192.0.2.1
GODADDY,192.0.2.1
GOLD,192.0.2.1
GOLDPOINT,192.0.2.1
GOLF,192.0.2.1
GOO,192.0.2.1
GOODYEAR,192.0.2.1
GOOG,192.0.2.1
GOOGLE,192.0.2.1
GOP,192.0.2.1
GOT,192.0.2.1
GOV,192.0.2.1
GP,192.0.2.1
GQ,192.0.2.1
GR,192.0.2.1
GRAINGER,192.0.2.1
GRAPHICS,192.0.2.1
GRATIS,192.0.2.1
GREEN,192.0.2.1
GRIPE,192.0.2.1
GROCERY,192.0.2.1
GROUP,192.0.2.1
GS,192.0.2.1
GT,192.0.2.1
GU,192.0.2.1
GUCCI,192.0.2.1
GUGE,192.0.2.1
GUIDE,192.0.2.1
GUITARS,192.0.2.1
GURU,192.0.2.1
GW,192.0.2.1
GY,192.0.2.1
HAIR,192.0.2.1
HAMBURG,192.0.2.1
HANGOUT,192.0.2.1
HAUS,192.0.2.1
HBO,192.0.2.1
HDFC,192.0.2.1
HDFCBANK,192.0.2.1
HEALTH,192.0.2.1
HEALTHCARE,192.0.2.1
HELP,192.0.2.1
HELSINKI,192.0.2.1
HERE,192.0.2.1
HERMES,192.0.2.1
HIPHOP,192.0.2.1
HISAMITSU,192.0.2.1
HITACHI,192.0.2.1
HIV,192.0.2.1
HK,192.0.2.1
HKT,192.0.2.1
HM,192.0.2.1
HN,192.0.2.1
HOCKEY,192.0.2.1
HOLDINGS,192.0.2.1
HOLIDAY,192.0.2.1
HOMEDEPOT,192.0.2.1
HOMEGOODS,192.0.2.1
HOMES,192.0.2.1
HOMESENSE,192.0.2.1
HONDA,192.0.2.1
HORSE,192.0.2.1
HOSPITAL,192.0.2.1
HOST,192.0.2.1
HOSTING,192.0.2.1
HOT,192.0.2.1
HOTELS,192.0.2.1
HOTMAIL,192.0.2.1
HOUSE,192.0.2.1
HOW,192.0.2.1
HR,192.0.2.1
HSBC,192.0.2.1
HT,192.0.2.1
HU,192.0.2.1
HUGHES,192.0.2.1
HYATT,192.0.2.1
HYUNDAI,192.0.2.1
IBM,192.0.2.1
ICBC,192.0.2.1
ICE,192.0.2.1
ICU,192.0.2.1
ID,192.0.2.1
IE,192.0.2.1
IEEE,192.0.2.1
IFM,192.0.2.1
IKANO,192.0.2.1
IL,192.0.2.1
IM,192.0.2.1
IMAMAT,192.0.2.1
IMDB,192.0.2.1
IMMO,192.0.2.1
IMMOBILIEN,192.0.2.1
IN,192.0.2.1
INC,192.0.2.1
INDUSTRIES,192.0.2.1
INFINITI,192.0.2.1
INFO,192.0.2.1
ING,192.0.2.1
INK,192.0.2.1
INSTITUTE,192.0.2.1
INSURANCE,192.0.2.1
INSURE,192.0.2.1
INT,192.0.2.1
INTERNATIONAL,192.0.2.1
INTUIT,192.0.2.1
INVESTMENTS,192.0.2.1
IO,192.0.2.1
IPIRANGA,192.0.2.1
IQ,192.0.2.1
IR,192.0.2.1
IRISH,192.0.2.1
IS,192.0.2.1
ISMAILI,192.0.2.1
IST,192.0.2.1
ISTANBUL,192.0.2.1
IT,192.0.2.1
ITAU,192.0.2.1
ITV,192.0.2.1
JAGUAR,192.0.2.1
JAVA,192.0.2.1
JCB,192.0.2.1
JE,192.0.2.1
JEEP,192.0.2.1
JETZT,192.0.2.1
JEWELRY,192.0.2.1
JIO,192.0.2.1
JLL,192.0.2.1
JM,192.0.2.1
JMP,192.0.2.1
JNJ,192.0.2.1
JO,192.0.2.1
JOBS,192.0.2.1
JOBURG,192.0.2.1
JOT,192.0.2.1
JOY,192.0.2.1
JP,192.0.2.1
JPMORGAN,192.0.2.1
JPRS,192.0.2.1
JUEGOS,192.0.2.1
JUNIPER,192.0.2.1
KAUFEN,192.0.2.1
KDDI,192.0.2.1
KE,192.0.2.1
KERRYHOTELS,192.0.2.1
KERRYLOGISTICS,192.0.2.1
KERRYPROPERTIES,192.0.2.1
KFH,192.0.2.1
KG,192.0.2.1
KH,192.0.2.1
KI,192.0.2.1
KIA,192.0.2.1
KIDS,192.0.2.1
KIM,192.0.2.1
KINDLE,192.0.2.1
KITCHEN,192.0.2.1
KIWI,192.0.2.1
KM,192.0.2.1
KN,192.0.2.1
KOELN,192.0.2.1
KOMATSU,192.0.2.1
KOSHER,192.0.2.1
KP,192.0.2.1
KPMG,192.0.2.1
KPN,192.0.2.1
KR,192.0.2.1
KRD,192.0.2.1
KRED,192.0.2.1
KUOKGROUP,192.0.2.1
KW,192.0.2.1
KY,192.0.2.1
KYOTO,192.0.2.1
KZ,192.0.2.1
LA,192.0.2.1
LACAIXA,192.0.2.1
LAMBORGHINI,192.0.2.1
LAMER,192.0.2.1
LANCASTER,192.0.2.1
LAND,192.0.2.1
LANDROVER,192.0.2.1
LANXESS,192.0.2.1
LASALLE,192.0.2.1
LAT,192.0.2.1
LATINO,192.0.2.1
LATROBE,192.0.2.1
LAW,192.0.2.1
LAWYER,192.0.2.1
LB,192.0.2.1
LC,192.0.2.1
LDS,192.0.2.1
LEASE,192.0.2.1
LECLERC,192.0.2.1
LEFRAK,192.0.2.1
LEGAL,192.0.2.1
LEGO,192.0.2.1
LEXUS,192.0.2.1
LGBT,192.0.2.1
LI,192.0.2.1
LIDL,192.0.2.1
LIFE,192.0.2.1
LIFEINSURANCE,192.0.2.1
LIFESTYLE,192.0.2.1
LIGHTING,192.0.2.1
LIKE,192.0.2.1
LILLY,192.0.2.1
LIMITED,192.0.2.1
LIMO,192.0.2.1
LINCOLN,192.0.2.1
LINK,192.0.2.1
LIPSY,192.0.2.1
LIVE,192.0.2.1
LIVING,192.0.2.1
LK,192.0.2.1
LLC,192.0.2.1
LLP,192.0.2.1
LOAN,192.0.2.1
LOANS,192.0.2.1
LOCKER,192.0.2.1
LOCUS,192.0.2.1
LOL,192.0.2.1
LONDON,192.0.2.1
LOTTE,192.0.2.1
LOTTO,192.0.2.1
LOVE,192.0.2.1
LPL,192.0.2.1
LPLFINANCIAL,192.0.2.1
LR,192.0.2.1
LS,192.0.2.1
LT,192.0.2.1
LTD,192.0.2.1
LTDA,192.0.2.1
LU,192.0.2.1
LUNDBECK,192.0.2.1
LUXE,192.0.2.1
LUXURY,192.0.2.1
LV,192.0.2.1
LY,192.0.2.1
MA,192.0.2.1
MADRID,192.0.2.1
MAIF,192.0.2.1
MAISON,192.0.2.1
MAKEUP,192.0.2.1
MAN,192.0.2.1
MANAGEMENT,192.0.2.1
MANGO,192.0.2.1
MAP,192.0.2.1
MARKET,192.0.2.1
MARKETING,192.0.2.1
MARKETS,192.0.2.1
MARRIOTT,192.0.2.1
MARSHALLS,192.0.2.1
MATTEL,192.0.2.1
MBA,192.0.2.1
MC,192.0.2.1
MCKINSEY,192.0.2.1
MD,192.0.2.1
ME,192.0.2.1
MED,192.0.2.1
MEDIA,192.0.2.1
MEET,192.0.2.1
MELBOURNE,192.0.2.1
MEME,192.0.2.1
MEMORIAL,192.0.2.1
MEN,192.0.2.1
MENU,192.0.2.1
MERCKMSD,192.0.2.1
MG,192.0.2.1
MH,192.0.2.1
MIAMI,192.0.2.1
MICROSOFT,192.0.2.1
MIL,192.0.2.1
MINI,192.0.2.1
MINT,192.0.2.1
MIT,192.0.2.1
MITSUBISHI,192.0.2.1
MK,192.0.2.1
ML,192.0.2.1
MLB,192.0.2.1
MLS,192.0.2.1
MM,192.0.2.1
MMA,192.0.2.1
MN,192.0.2.1
MO,192.0.2.1
MOBI,192.0.2.1
MOBILE,192.0.2.1
MODA,192.0.2.1
MOE,192.0.2.1
MOI,192.0.2.1
MOM,192.0.2.1
MONASH,192.0.2.1
MONEY,192.0.2.1
MONSTER,192.0.2.1
MORMON,192.0.2.1
MORTGAGE,192.0.2.1
MOSCOW,192.0.2.1
MOTO,192.0.2.1
MOTORCYCLES,192.0.2.1
MOV,192.0.2.1
MOVIE,192.0.2.1
MP,192.0.2.1
MQ,192.0.2.1
MR,192.0.2.1
MS,192.0.2.1
MSD,192.0.2.1
MT,192.0.2.1
MTN,192.0.2.1
MTR,192.0.2.1
MU,192.0.2.1
MUSEUM,192.0.2.1
MUSIC,192.0.2.1
MV,192.0.2.1
MW,192.0.2.1
MX,192.0.2.1
MY,192.0.2.1
MZ,192.0.2.1
NA,192.0.2.1
NAB,192.0.2.1
NAGOYA,192.0.2.1
NAME,192.0.2.1
NAVY,192.0.2.1
NBA,192.0.2.1
NC,192.0.2.1
NE,192.0.2.1
NEC,192.0.2.1
NET,192.0.2.1
NETBANK,192.0.2.1
NETFLIX,192.0.2.1
NETWORK,192.0.2.1
NEUSTAR,192.0.2.1
NEW,192.0.2.1
NEWS,192.0.2.1
NEXT,192.0.2.1
NEXTDIRECT,192.0.2.1
NEXUS,192.0.2.1
NF,192.0.2.1
NFL,192.0.2.1
NG,192.0.2.1
NGO,192.0.2.1
NHK,192.0.2.1
NI,192.0.2.1
NICO,192.0.2.1
NIKE,192.0.2.1
NIKON,192.0.2.1
NINJA,192.0.2.1
NISSAN,192.0.2.1
NISSAY,192.0.2.1
NL,192.0.2.1
NO,192.0.2.1
NOKIA,192.0.2.1
NORTON,192.0.2.1
NOW,192.0.2.1
NOWRUZ,192.0.2.1
