domain,NS,IP
ABB,2001:db8::1
AC,2001:db8::1
ABBOTT,2001:db8::1
ABBVIE,2001:db8::1
ABC,2001:db8::1
ABLE,2001:db8::1
ABOGADO,2001:db8::1
ABUDHABI,2001:db8::1
AAA,2001:db8::1
AARP,2001:db8::1
ACADEMY,2001:db8::1
ACCENTURE,2001:db8::1
ACCOUNTANT,2001:db8::1
ACCOUNTANTS,2001:db8::1
ACO,2001:db8::1
ACTOR,2001:db8::1
AD,2001:db8::1
ADS,2001:db8::1
ADULT,2001:db8::1
AE,2001:db8::1
AEG,2001:db8::1
AERO,2001:db8::1
AETNA,2001:db8::1
AF,2001:db8::1
AFL,2001:db8::1
AFRICA,2001:db8::1
AG,2001:db8::1
AGAKHAN,2001:db8::1
AGENCY,2001:db8::1
AI,2001:db8::1
AIG,2001:db8::1
AIRBUS,2001:db8::1
AIRFORCE,2001:db8::1
AIRTEL,2001:db8::1
AKDN,2001:db8::1
AL,2001:db8::1
ALIBABA,2001:db8::1
ALIPAY,2001:db8::1
ALLFINANZ,2001:db8::1
ALLSTATE,2001:db8::1
ALLY,2001:db8::1
ALSACE,2001:db8::1
ALSTOM,2001:db8::1
AM,2001:db8::1
AMAZON,2001:db8::1
AMERICANEXPRESS,2001:db8::1
AMERICANFAMILY,2001:db8::1
AMEX,2001:db8::1
AMFAM,2001:db8::1
AMICA,2001:db8::1
AMSTERDAM,2001:db8::1
ANALYTICS,2001:db8::1
ANDROID,2001:db8::1
ANQUAN,2001:db8::1
ANZ,2001:db8::1
AO,2001:db8::1
AOL,2001:db8::1
APARTMENTS,2001:db8::1
APP,2001:db8::1
APPLE,2001:db8::1
AQ,2001:db8::1
AQUARELLE,2001:db8::1
AR,2001:db8::1
ARAB,2001:db8::1
ARAMCO,2001:db8::1
ARCHI,2001:db8::1
ARMY,2001:db8::1
ARPA,2001:db8::1
ART,2001:db8::1
ARTE,2001:db8::1
AS,2001:db8::1
ASDA,2001:db8::1
ASIA,2001:db8::1
ASSOCIATES,2001:db8::1
AT,2001:db8::1
ATHLETA,2001:db8::1
ATTORNEY,2001:db8::1
AU,2001:db8::1
AUCTION,2001:db8::1
