domain,NS,IP
ABUDHABI,gtld.alpha.aridns.net.au.,2001:dcd:1::10
ABUDHABI,gtld.gamma.aridns.net.au.,2001:dcd:3::10
ABUDHABI,gtld.delta.aridns.net.au.,2001:dcd:4::10
ABUDHABI,gtld.beta.aridns.net.au.,2001:dcd:2::10
AAA,ns3.dns.nic.AAA.,2610:a1:1073::2
AAA,c.nic.AAA.,2001:dcd:3::9
AAA,b.nic.AAA.,2001:dcd:2::9
AAA,ns2.dns.nic.AAA.,2610:a1:1072::2
AAA,ns1.dns.nic.AAA.,2610:a1:1071::2
AAA,a.nic.AAA.,2001:dcd:1::9
AARP,b.nic.AARP.,2001:dcd:2::9
AARP,y.nic.AARP.,2610:a1:1075::1:82
AARP,x.nic.AARP.,2610:a1:1074::1:82
AARP,a.nic.AARP.,2001:dcd:1::9
AARP,z.nic.AARP.,2610:a1:1076::1:82
AARP,c.nic.AARP.,2001:dcd:3::9
ABOGADO,x.nic.ABOGADO.,2610:a1:1074::1:82
ABOGADO,y.nic.ABOGADO.,2610:a1:1075::1:82
ABOGADO,z.nic.ABOGADO.,2610:a1:1076::1:82
ABOGADO,a.nic.ABOGADO.,2001:dcd:1::10
ABOGADO,b.nic.ABOGADO.,2001:dcd:2::10
ABOGADO,c.nic.ABOGADO.,2001:dcd:3::10
ABLE,b.nic.ABLE.,2001:dcd:2::10
ABLE,c.nic.ABLE.,2001:dcd:3::10
ABLE,ns1.dns.nic.ABLE.,2610:a1:1071::3
ABLE,a.nic.ABLE.,2001:dcd:1::10
ABLE,ns3.dns.nic.ABLE.,2610:a1:1073::3
ABLE,ns2.dns.nic.ABLE.,2610:a1:1072::3
AC,c0.nic.AC.,2a01:8840:a0::1
AC,b0.nic.AC.,2a01:8840:9f::1
AC,a2.nic.AC.,2a01:8840:a1::1
AC,a0.nic.AC.,2a01:8840:9e::1
ABB,b0.nic.ABB.,2a01:8840:6f::41
ABB,c0.nic.ABB.,2a01:8840:70::41
ABB,a2.nic.ABB.,2a01:8840:71::41
ABB,a0.nic.ABB.,2a01:8840:6e::41
ACO,n.dns.nic.ACO.,2001:678:24::12
ACO,a.dns.nic.ACO.,2001:678:20::32
ACO,m.dns.nic.ACO.,2001:67c:10e0::12
ABC,v0n3.nic.ABC.,2a01:8840:106::28
ABC,v0n2.nic.ABC.,2a01:8840:68::28
ABC,v0n1.nic.ABC.,2a01:8840:67::28
ABC,v0n0.nic.ABC.,2a01:8840:66::28
ABC,v2n1.nic.ABC.,2a01:8840:107::28
ABC,v2n0.nic.ABC.,2a01:8840:69::28
ACCOUNTANT,ns3.dns.nic.ACCOUNTANT.,2610:a1:1073::c3
ACCOUNTANT,ns2.dns.nic.ACCOUNTANT.,2610:a1:1072::c3
ACCOUNTANT,a.nic.ACCOUNTANT.,2001:dcd:1::10
ACCOUNTANT,c.nic.ACCOUNTANT.,2001:dcd:3::10
ACCOUNTANT,ns1.dns.nic.ACCOUNTANT.,2610:a1:1071::c3
ACCOUNTANT,b.nic.ACCOUNTANT.,2001:dcd:2::10
ABBOTT,a0.nic.ABBOTT.,2a01:8840:9a::41
ABBOTT,b0.nic.ABBOTT.,2a01:8840:9b::41
ABBOTT,a2.nic.ABBOTT.,2a01:8840:9d::41
ABBOTT,c0.nic.ABBOTT.,2a01:8840:9c::41
ABBVIE,dnsd.nic.ABBVIE.,2610:a1:1010::3
ABBVIE,dnsc.nic.ABBVIE.,2610:a1:1009::3
ABBVIE,dns2.nic.ABBVIE.,2401:fd80:403::41
ABBVIE,dns1.nic.ABBVIE.,2a01:618:403::41
