domain,NS,IP
ABBVIE,dnsb.nic.ABBVIE.,2001:502:2eda::3
ABBVIE,dns3.nic.ABBVIE.,2a01:618:407::41
ABBVIE,dns4.nic.ABBVIE.,2401:fd80:407::41
ABBVIE,dnsa.nic.ABBVIE.,2001:502:ad09::3
ACADEMY,v0n1.nic.ACADEMY.,2a01:8840:1b::37
ACADEMY,v2n1.nic.ACADEMY.,2a01:8840:f7::37
ACADEMY,v2n0.nic.ACADEMY.,2a01:8840:1d::37
ACADEMY,v0n3.nic.ACADEMY.,2a01:8840:f6::37
ACADEMY,v0n2.nic.ACADEMY.,2a01:8840:1c::37
ACADEMY,v0n0.nic.ACADEMY.,2a01:8840:1a::37
ACCENTURE,v0n0.nic.ACCENTURE.,2a01:8840:6a::8
ACCENTURE,v2n0.nic.ACCENTURE.,2a01:8840:6d::8
ACCENTURE,v2n1.nic.ACCENTURE.,2a01:8840:109::8
ACCENTURE,v0n1.nic.ACCENTURE.,2a01:8840:6b::8
ACCENTURE,v0n3.nic.ACCENTURE.,2a01:8840:108::8
ACCENTURE,v0n2.nic.ACCENTURE.,2a01:8840:6c::8
ADS,ns-tld2.charlestonroadregistry.com.,2001:4860:4802:34::69
ADS,ns-tld1.charlestonroadregistry.com.,2001:4860:4802:32::69
ADS,ns-tld4.charlestonroadregistry.com.,2001:4860:4802:38::69
ADS,ns-tld5.charlestonroadregistry.com.,2001:4860:4805::69
ADS,ns-tld3.charlestonroadregistry.com.,2001:4860:4802:36::69
AD,ns3.nic.fr.,2001:660:3006:1::1:1
AD,ad.ns.nic.es.,2001:67c:21cc:2000::64:47
AD,anycast23.irondns.net.,2a01:5b0:5::b
AD,anycast9.irondns.net.,2a01:5b0:4::b
ACTOR,v0n0.nic.ACTOR.,2a01:8840:22::60
ACTOR,v0n2.nic.ACTOR.,2a01:8840:24::60
ACTOR,v2n1.nic.ACTOR.,2a01:8840:fb::60
ACTOR,v0n1.nic.ACTOR.,2a01:8840:23::60
ACTOR,v0n3.nic.ACTOR.,2a01:8840:fa::60
ACTOR,v2n0.nic.ACTOR.,2a01:8840:25::60
ADULT,c.nic.ADULT.,2001:dcd:3::10
ADULT,x.nic.ADULT.,2610:a1:1074::1:82
ADULT,y.nic.ADULT.,2610:a1:1075::1:82
ADULT,z.nic.ADULT.,2610:a1:1076::1:82
ADULT,a.nic.ADULT.,2001:dcd:1::10
ADULT,b.nic.ADULT.,2001:dcd:2::10
AF,ns2.anycastdns.cz.,185.28.194.194
AF,ns2.anycastdns.cz.,
AF,ns.anycast.nic.AF.,2001:500:14:6013:ad::1
AF,ns1.anycastdns.cz.,2a00:fea0:dead::beef
AE,ns4.apnic.net.,2001:dd8:12::53
AE,ns1.aedns.AE.,2a00:d30:120::73
AE,ns2.aedns.AE.,2a00:d30:121::73
AE,nsext-pch.aedns.AE.,2001:500:7d::1
AETNA,ns3.dns.nic.AETNA.,2610:a1:1073::5
AETNA,a.nic.AETNA.,2001:dcd:1::9
AETNA,b.nic.AETNA.,2001:dcd:2::9
AETNA,c.nic.AETNA.,2001:dcd:3::9
AETNA,ns1.dns.nic.AETNA.,2610:a1:1071::5
AETNA,ns2.dns.nic.AETNA.,2610:a1:1072::5
AFRICA,coza1.dnsnode.net.,2001:67c:1010:18::53
AFRICA,nsp.netnod.se.,2a01:3f1:3033::53
ACCOUNTANTS,v2n0.nic.ACCOUNTANTS.,2a01:8840:25::31
ACCOUNTANTS,v0n2.nic.ACCOUNTANTS.,2a01:8840:24::31
ACCOUNTANTS,v0n0.nic.ACCOUNTANTS.,2a01:8840:22::31
ACCOUNTANTS,v0n1.nic.ACCOUNTANTS.,2a01:8840:23::31
ACCOUNTANTS,v2n1.nic.ACCOUNTANTS.,2a01:8840:fb::31
ACCOUNTANTS,v0n3.nic.ACCOUNTANTS.,2a01:8840:fa::31
AFL,c.nic.AFL.,2001:dcd:3::9
AFL,y.nic.AFL.,2610:a1:1075::1:82
AFL,a.nic.AFL.,2001:dcd:1::9
AFL,z.nic.AFL.,2610:a1:1076::1:82
AFL,b.nic.AFL.,2001:dcd:2::9
AFL,x.nic.AFL.,2610:a1:1074::1:82
AIRBUS,ac1.nstld.com.,2001:500:120::30
AIRBUS,ac4.nstld.com.,2001:500:123::30
AIRBUS,ac2.nstld.com.,2001:500:121::30
AIRBUS,ac3.nstld.com.,2001:500:122::30
AG,b2.cctld.afilias-nst.org.,2001:500:4c::1
AG,a2.cctld.afilias-nst.info.,2001:500:44::1
AG,d0.cctld.afilias-nst.org.,2001:500:28::1
AG,b0.cctld.afilias-nst.org.,2001:500:26::1
AG,c0.cctld.afilias-nst.info.,2001:500:27::1
AG,a0.cctld.afilias-nst.info.,2001:500:25::1
AEG,v0n2.nic.AEG.,2a01:8840:6c::2
AEG,v0n1.nic.AEG.,2a01:8840:6b::2
AEG,v0n0.nic.AEG.,2a01:8840:6a::2
AEG,v0n3.nic.AEG.,2a01:8840:108::2
AEG,v2n1.nic.AEG.,2a01:8840:109::2
AEG,v2n0.nic.AEG.,2a01:8840:6d::2
AERO,a2.nic.AERO.,2001:500:43::1
AERO,b2.nic.AERO.,2001:500:4b::1
AERO,a0.nic.AERO.,2001:500:1d::1
AERO,b0.nic.AERO.,2001:500:1e::1
AERO,c0.nic.AERO.,2001:500:20::1
AIG,ns1.dns.nic.AIG.,2610:a1:1071::6
AIG,ns2.dns.nic.AIG.,2610:a1:1072::6
AIG,ns3.dns.nic.AIG.,2610:a1:1073::6
AIG,a.nic.AIG.,2001:dcd:1::9
AIG,b.nic.AIG.,2001:dcd:2::9
AIG,c.nic.AIG.,2001:dcd:3::9
AI,a.lactld.org.,200.0.68.10
AI,pch.whois.AI.,204.61.216.123
AI,anycastdns1-cz.nic.AI.,185.28.194.194
AI,anycastdns2-cz.nic.AI.,185.38.108.108
AI,anycastdns2-cz.nic.AI.,2a00:fea0:dead::beef
AIRTEL,ac2.nstld.com.,2001:500:121::30
AIRTEL,ac1.nstld.com.,2001:500:120::30
AIRTEL,ac3.nstld.com.,2001:500:122::30
AIRTEL,ac4.nstld.com.,2001:500:123::30
AGAKHAN,a0.nic.AGAKHAN.,2a01:8840:2a::1
AGAKHAN,b0.nic.AGAKHAN.,2a01:8840:2b::1
AGAKHAN,a2.nic.AGAKHAN.,2a01:8840:2d::1
AGAKHAN,c0.nic.AGAKHAN.,2a01:8840:2c::1
AIRFORCE,v0n0.nic.AIRFORCE.,2a01:8840:22::34
AIRFORCE,v0n1.nic.AIRFORCE.,2a01:8840:23::34
AIRFORCE,v0n2.nic.AIRFORCE.,2a01:8840:24::34
AIRFORCE,v2n0.nic.AIRFORCE.,2a01:8840:25::34
AIRFORCE,v0n3.nic.AIRFORCE.,2a01:8840:fa::34
AIRFORCE,v2n1.nic.AIRFORCE.,2a01:8840:fb::34
AGENCY,v0n0.nic.AGENCY.,2a01:8840:1a::2
AGENCY,v0n2.nic.AGENCY.,2a01:8840:1c::2
AGENCY,v0n3.nic.AGENCY.,2a01:8840:f6::2
AGENCY,v0n1.nic.AGENCY.,2a01:8840:1b::2
AGENCY,v2n0.nic.AGENCY.,2a01:8840:1d::2
AGENCY,v2n1.nic.AGENCY.,2a01:8840:f7::2
ALLFINANZ,a.nic.ALLFINANZ.,2001:67c:13cc::1:75
ALLFINANZ,c.nic.ALLFINANZ.,2a04:2b00:13ee::75
ALLFINANZ,d.nic.ALLFINANZ.,2a04:2b00:13ff::75
ALLFINANZ,b.nic.ALLFINANZ.,2a04:2b00:13cc::1:75
ALSACE,g.ext.nic.fr.,2001:678:4c::1
ALSACE,f.ext.nic.fr.,2001:67c:1010:11::53
ALSACE,d.nic.fr.,2001:678:c::1
AKDN,a2.nic.AKDN.,2a01:8840:2d::17
AKDN,b0.nic.AKDN.,2a01:8840:2b::17
AKDN,c0.nic.AKDN.,2a01:8840:2c::17
AKDN,a0.nic.AKDN.,2a01:8840:2a::17
ALLSTATE,c0.nic.ALLSTATE.,2a01:8840:30::9
ALLSTATE,a2.nic.ALLSTATE.,2a01:8840:31::9
ALLSTATE,b0.nic.ALLSTATE.,2a01:8840:2f::9
ALLSTATE,a0.nic.ALLSTATE.,2a01:8840:2e::9
ALSTOM,anycast24.irondns.net.,2a01:5b0:5::c
ALSTOM,anycast10.irondns.net.,2a01:5b0:4::c
ALSTOM,anycast23.irondns.net.,2a01:5b0:5::b
ALSTOM,anycast9.irondns.net.,2a01:5b0:4::b
AL,nsx.nic.AL.,194.0.11.108
AL,rip.psg.com.,147.28.0.39
AL,munnari.oz.au.,202.29.151.3
AL,ns1.nic.AL.,194.1.149.230
AL,ns1.nic.AL.,
ALLY,y.nic.ALLY.,2610:a1:1075::1:82
ALLY,z.nic.ALLY.,2610:a1:1076::1:82
ALLY,a.nic.ALLY.,2001:dcd:1::9
ALLY,b.nic.ALLY.,2001:dcd:2::9
ALLY,c.nic.ALLY.,2001:dcd:3::9
ALLY,x.nic.ALLY.,2610:a1:1074::1:82
ALIPAY,a2.nic.ALIPAY.,2a01:8840:81::25
ALIPAY,b0.nic.ALIPAY.,2a01:8840:7f::25
ALIPAY,c0.nic.ALIPAY.,2a01:8840:80::25
ALIPAY,a0.nic.ALIPAY.,2a01:8840:7e::25
AMERICANEXPRESS,b.nic.AMERICANEXPRESS.,2001:dcd:2::9
AMERICANEXPRESS,c.nic.AMERICANEXPRESS.,2001:dcd:3::9
AMERICANEXPRESS,ns2.dns.nic.AMERICANEXPRESS.,2610:a1:1072::9
AMERICANEXPRESS,a.nic.AMERICANEXPRESS.,2001:dcd:1::9
AMERICANEXPRESS,ns1.dns.nic.AMERICANEXPRESS.,2610:a1:1071::9
AMERICANEXPRESS,ns3.dns.nic.AMERICANEXPRESS.,2610:a1:1073::9
ALIBABA,c0.nic.ALIBABA.,2a01:8840:84::9
ALIBABA,a2.nic.ALIBABA.,2a01:8840:85::9
ALIBABA,a0.nic.ALIBABA.,2a01:8840:82::9
ALIBABA,b0.nic.ALIBABA.,2a01:8840:83::9
AM,fork.sth.dnsnode.net.,2a01:3f0:0:306::53
AM,ns-cdn.amnic.net.,2001:678:4::1a
AM,ns-pch.amnic.net.,2001:500:14:6096:ad::1
AM,ns-pri.nic.AM.,2001:7f9:8:53::1
AMERICANFAMILY,c.nic.AMERICANFAMILY.,2001:dcd:3::9
AMERICANFAMILY,b.nic.AMERICANFAMILY.,2001:dcd:2::9
AMERICANFAMILY,a.nic.AMERICANFAMILY.,2001:dcd:1::9
AMERICANFAMILY,z.nic.AMERICANFAMILY.,2610:a1:1076::1:82
AMERICANFAMILY,y.nic.AMERICANFAMILY.,2610:a1:1075::1:82
AMERICANFAMILY,x.nic.AMERICANFAMILY.,2610:a1:1074::1:82
AMSTERDAM,ns4.dns.AMSTERDAM.,2620:10a:80ac::202
AMSTERDAM,ns1.dns.AMSTERDAM.,2001:678:2c:0:194:0:28:4
AMSTERDAM,ns3.dns.AMSTERDAM.,2001:678:20::26
AMAZON,dnsb.nic.AMAZON.,2001:502:2eda::3
AMAZON,dnsc.nic.AMAZON.,2610:a1:1009::3
AMAZON,dnsd.nic.AMAZON.,2610:a1:1010::3
AMAZON,dns1.nic.AMAZON.,2a01:618:402::90
AMAZON,dns2.nic.AMAZON.,2401:fd80:402::90
AMAZON,dns3.nic.AMAZON.,2a01:618:406::90
AMAZON,dns4.nic.AMAZON.,2401:fd80:406::90
AMAZON,dnsa.nic.AMAZON.,2001:502:ad09::3
AMICA,b.nic.AMICA.,2001:dcd:2::9
AMICA,a.nic.AMICA.,2001:dcd:1::9
AMICA,ns1.dns.nic.AMICA.,2610:a1:1071::b
AMICA,ns3.dns.nic.AMICA.,2610:a1:1073::b
AMICA,ns2.dns.nic.AMICA.,2610:a1:1072::b
AMICA,c.nic.AMICA.,2001:dcd:3::9
ANDROID,ns-tld3.charlestonroadregistry.com.,2001:4860:4802:36::69
ANDROID,ns-tld5.charlestonroadregistry.com.,2001:4860:4805::69
ANDROID,ns-tld2.charlestonroadregistry.com.,2001:4860:4802:34::69
ANDROID,ns-tld4.charlestonroadregistry.com.,2001:4860:4802:38::69
ANDROID,ns-tld1.charlestonroadregistry.com.,2001:4860:4802:32::69
AMEX,a.nic.AMEX.,2001:dcd:1::9
AMEX,c.nic.AMEX.,2001:dcd:3::9
AMEX,b.nic.AMEX.,2001:dcd:2::9
AMEX,ns1.dns.nic.AMEX.,2610:a1:1071::a
AMEX,ns2.dns.nic.AMEX.,2610:a1:1072::a
AMEX,ns3.dns.nic.AMEX.,2610:a1:1073::a
ANALYTICS,a.nic.ANALYTICS.,2001:dcd:1::10
ANALYTICS,b.nic.ANALYTICS.,2001:dcd:2::10
ANALYTICS,ns3.dns.nic.ANALYTICS.,2610:a1:1073::c
ANALYTICS,ns2.dns.nic.ANALYTICS.,2610:a1:1072::c
ANALYTICS,ns1.dns.nic.ANALYTICS.,2610:a1:1071::c
ANALYTICS,c.nic.ANALYTICS.,2001:dcd:3::10
ANZ,z.nic.ANZ.,2610:a1:1076::1:82
ANZ,a.nic.ANZ.,2001:dcd:1::9
ANZ,c.nic.ANZ.,2001:dcd:3::9
ANZ,x.nic.ANZ.,2610:a1:1074::1:82
ANZ,b.nic.ANZ.,2001:dcd:2::9
ANZ,y.nic.ANZ.,2610:a1:1075::1:82
AMFAM,a.nic.AMFAM.,2001:dcd:1::9
AMFAM,b.nic.AMFAM.,2001:dcd:2::9
AMFAM,c.nic.AMFAM.,2001:dcd:3::9
AMFAM,z.nic.AMFAM.,2610:a1:1076::1:82
AMFAM,y.nic.AMFAM.,2610:a1:1075::1:82
AMFAM,x.nic.AMFAM.,2610:a1:1074::1:82
APP,ns-tld4.charlestonroadregistry.com.,2001:4860:4802:38::69
APP,ns-tld1.charlestonroadregistry.com.,2001:4860:4802:32::69
APP,ns-tld2.charlestonroadregistry.com.,2001:4860:4802:34::69
APP,ns-tld5.charlestonroadregistry.com.,2001:4860:4805::69
APP,ns-tld3.charlestonroadregistry.com.,2001:4860:4802:36::69
AO,ao02.dns.pt.,2a04:6d80::29
AO,ao-e.ns.nic.cz.,2001:148f:fffd::13
AO,a.ns.AO.,2620:171:804:ad2::4
AO,etld-1.anycast.net.,2607:f740:45::54
AQUARELLE,c.nic.AQUARELLE.,2a04:2b00:13ee::160
AQUARELLE,b.nic.AQUARELLE.,2a04:2b00:13cc::1:160
AQUARELLE,d.nic.AQUARELLE.,2a04:2b00:13ff::160
AQUARELLE,a.nic.AQUARELLE.,2001:67c:13cc::1:160
AQ,ns1.anycast.dns.AQ.,2001:500:14:6132:ad::1
AQ,fork.sth.dnsnode.net.,2a01:3f0:0:306::53
AQ,ns99.dns.net.nz.,2001:dce:2000:2::131
ARAB,gtld.delta.aridns.net.au.,2001:dcd:4::10
ARAB,gtld.alpha.aridns.net.au.,2001:dcd:1::10
ARAB,gtld.gamma.aridns.net.au.,2001:dcd:3::10
ARAB,gtld.beta.aridns.net.au.,2001:dcd:2::10
AOL,a0.nic.AOL.,2a01:8840:6e::42
AOL,a2.nic.AOL.,2a01:8840:71::42
AOL,c0.nic.AOL.,2a01:8840:70::42
AOL,b0.nic.AOL.,2a01:8840:6f::42
APARTMENTS,v2n1.nic.APARTMENTS.,2a01:8840:f9::56
APARTMENTS,v0n0.nic.APARTMENTS.,2a01:8840:1e::56
APARTMENTS,v0n2.nic.APARTMENTS.,2a01:8840:20::56
APARTMENTS,v0n3.nic.APARTMENTS.,2a01:8840:f8::56
APARTMENTS,v2n0.nic.APARTMENTS.,2a01:8840:21::56
APARTMENTS,v0n1.nic.APARTMENTS.,2a01:8840:1f::56
ART,a.nic.ART.,2001:67c:13cc::1:49
ART,b.nic.ART.,2a04:2b00:13cc::1:49
ART,c.nic.ART.,2a04:2b00:13ee::49
ART,d.nic.ART.,2a04:2b00:13ff::49
ARAMCO,a.nic.ARAMCO.,2001:dcd:1::9
ARAMCO,b.nic.ARAMCO.,2001:dcd:2::9
ARAMCO,c.nic.ARAMCO.,2001:dcd:3::9
ARAMCO,ns4.dns.nic.ARAMCO.,2610:a1:1074::e
ARAMCO,ns6.dns.nic.ARAMCO.,2610:a1:1076::e
ARAMCO,ns5.dns.nic.ARAMCO.,2610:a1:1075::e
APPLE,a0.nic.APPLE.,2a01:8840:3a::1
APPLE,a2.nic.APPLE.,2a01:8840:3d::1
APPLE,b0.nic.APPLE.,2a01:8840:3b::1
APPLE,c0.nic.APPLE.,2a01:8840:3c::1
AR,ar.cctld.authdns.ripe.net.,2001:67c:e0::59
AR,a.lactld.org.,2801:14:a000::10
AR,c.dns.AR.,2801:140:10::10
AR,d.dns.AR.,2801:140:dddd::50
AR,e.dns.AR.,2801:140:eeee::50
AR,f.dns.AR.,2001:620:0:ff::20
ASDA,a2.nic.ASDA.,2a01:8840:71::43
ASDA,c0.nic.ASDA.,2a01:8840:70::43
ASDA,a0.nic.ASDA.,2a01:8840:6e::43
ASDA,b0.nic.ASDA.,2a01:8840:6f::43
ARTE,v0n1.nic.ARTE.,2a01:8840:6b::11
ARTE,v0n0.nic.ARTE.,2a01:8840:6a::11
ARTE,v2n1.nic.ARTE.,2a01:8840:109::11
ARTE,v2n0.nic.ARTE.,2a01:8840:6d::11
ARTE,v0n3.nic.ARTE.,2a01:8840:108::11
ARTE,v0n2.nic.ARTE.,2a01:8840:6c::11
ARCHI,b0.nic.ARCHI.,2a01:8840:53::1
ARCHI,a2.nic.ARCHI.,2a01:8840:55::1
ARCHI,a0.nic.ARCHI.,2a01:8840:52::1
ARCHI,c0.nic.ARCHI.,2a01:8840:54::1
AS,pch.nic.AS.,2001:500:14:6111:ad::1
AS,ns1.asnic.biz.,2a01:618:403::254
AS,ns2.asnic.info.,2401:fd80:403::254
AS,ns3.asnic.org.,2a01:618:407::254
AS,ns4.asnic.uk.,2401:fd80:407::254
AS,ns5.asnic.us.,2001:67c:1010:22::53
ANQUAN,ns2.teleinfoo.com.,103.61.61.1
ANQUAN,ns4.teleinfoo.com.,103.61.63.1
ANQUAN,ns1.teleinfo.cn.,103.61.60.1
ANQUAN,ns3.teleinfo.cn.,103.61.62.1
ANQUAN,ns3.teleinfo.cn.,
ARMY,v2n1.nic.ARMY.,2a01:8840:f9::59
ARMY,v0n0.nic.ARMY.,2a01:8840:1e::59
ARMY,v0n1.nic.ARMY.,2a01:8840:1f::59
ARMY,v0n2.nic.ARMY.,2a01:8840:20::59
ARMY,v0n3.nic.ARMY.,2a01:8840:f8::59
ARMY,v2n0.nic.ARMY.,2a01:8840:21::59
ARPA,i.ns.ARPA.,2001:7fe::53
ARPA,e.ns.ARPA.,2001:500:a8::e
ARPA,m.ns.ARPA.,2001:dc3::35
ARPA,k.ns.ARPA.,2001:7fd::1
ARPA,f.ns.ARPA.,2001:500:2f::f
ARPA,h.ns.ARPA.,2001:500:1::53
ARPA,g.ns.ARPA.,2001:500:12::d0d
ARPA,b.ns.ARPA.,2801:1b8:10::b
ARPA,l.ns.ARPA.,2001:500:9f::42
ARPA,a.ns.ARPA.,2001:503:ba3e::2:30
ARPA,d.ns.ARPA.,2001:500:2d::d
ARPA,c.ns.ARPA.,2001:500:2::c
ASIA,c0.asia.afilias-nst.info.,2001:500:17::1
ASIA,b0.asia.afilias-nst.ASIA.,2001:500:16::1
ASIA,a2.asia.afilias-nst.info.,2001:500:42::1
ASIA,d0.asia.afilias-nst.ASIA.,2001:500:18::1
ASIA,a0.asia.afilias-nst.info.,2001:500:d::1
ASIA,b2.asia.afilias-nst.org.,2001:500:4a::1
ASSOCIATES,v2n1.nic.ASSOCIATES.,2a01:8840:f9::27
ASSOCIATES,v2n0.nic.ASSOCIATES.,2a01:8840:21::27
ASSOCIATES,v0n2.nic.ASSOCIATES.,2a01:8840:20::27
ASSOCIATES,v0n0.nic.ASSOCIATES.,2a01:8840:1e::27
ASSOCIATES,v0n1.nic.ASSOCIATES.,2a01:8840:1f::27
ASSOCIATES,v0n3.nic.ASSOCIATES.,2a01:8840:f8::27
AU,s.AU.,2a01:8840:c0::1
AU,t.AU.,2a01:8840:c1::1
AU,a.AU.,2407:6e00:254::1
AU,q.AU.,2a01:8840:be::1
AU,r.AU.,2a01:8840:bf::1
ATHLETA,b.nic.ATHLETA.,2001:dcd:2::9
ATHLETA,ns1.dns.nic.ATHLETA.,2610:a1:1071::10
ATHLETA,ns3.dns.nic.ATHLETA.,2610:a1:1073::10
ATHLETA,a.nic.ATHLETA.,2001:dcd:1::9
ATHLETA,c.nic.ATHLETA.,2001:dcd:3::9
ATHLETA,ns2.dns.nic.ATHLETA.,2610:a1:1072::10
AUDIO,a.nic.AUDIO.,2001:67c:13cc::1:150
AUDIO,b.nic.AUDIO.,2a04:2b00:13cc::1:150
AUDIO,c.nic.AUDIO.,2a04:2b00:13ee::150
AUDIO,d.nic.AUDIO.,2a04:2b00:13ff::150
ATTORNEY,v0n3.nic.ATTORNEY.,2a01:8840:f4::20
ATTORNEY,v0n1.nic.ATTORNEY.,2a01:8840:17::20
ATTORNEY,v2n0.nic.ATTORNEY.,2a01:8840:19::20
ATTORNEY,v2n1.nic.ATTORNEY.,2a01:8840:f5::20
ATTORNEY,v0n0.nic.ATTORNEY.,2a01:8840:16::20
ATTORNEY,v0n2.nic.ATTORNEY.,2a01:8840:18::20
AUSPOST,y.nic.AUSPOST.,2610:a1:1075::1:82
AUSPOST,a.nic.AUSPOST.,2001:dcd:1::9
AUSPOST,x.nic.AUSPOST.,2610:a1:1074::1:82
AUSPOST,b.nic.AUSPOST.,2001:dcd:2::9
AUSPOST,c.nic.AUSPOST.,2001:dcd:3::9
AUSPOST,z.nic.AUSPOST.,2610:a1:1076::1:82
AUTO,a.nic.AUTO.,2001:67c:13cc::1:131
AUTO,c.nic.AUTO.,2a04:2b00:13ee::131
AUTO,d.nic.AUTO.,2a04:2b00:13ff::131
AUTO,b.nic.AUTO.,2a04:2b00:13cc::1:131
AUTOS,a.nic.AUTOS.,2001:67c:13cc::1:136
AUTOS,b.nic.AUTOS.,2a04:2b00:13cc::1:136
AUTOS,c.nic.AUTOS.,2a04:2b00:13ee::136
AUTOS,d.nic.AUTOS.,2a04:2b00:13ff::136
AUDI,a2.nic.AUDI.,2a01:8840:cd::17
AUDI,b0.nic.AUDI.,2a01:8840:cb::17
AUDI,c0.nic.AUDI.,2a01:8840:cc::17
AUDI,a0.nic.AUDI.,2a01:8840:ca::17
AUCTION,v0n0.nic.AUCTION.,2a01:8840:22::55
AUCTION,v0n2.nic.AUCTION.,2a01:8840:24::55
AUCTION,v2n0.nic.AUCTION.,2a01:8840:25::55
AUCTION,v0n1.nic.AUCTION.,2a01:8840:23::55
AUCTION,v2n1.nic.AUCTION.,2a01:8840:fb::55
AUCTION,v0n3.nic.AUCTION.,2a01:8840:fa::55
AT,n.ns.AT.,2a02:568:281::130
AT,r.ns.AT.,2001:678:20::10
AT,ns9.univie.ac.AT.,2001:678:d::cafe
AT,ns2.univie.ac.AT.,2001:678:1c::2
AT,ns1.univie.ac.AT.,2001:628:2030:4301::2
AT,u.ns.AT.,2a02:850:ffff::2
AT,j.ns.AT.,2001:67c:1010:12::53
AT,d.ns.AT.,2a02:568:20:1::d
AZ,az.hostmaster.ua.,2001:67c:258::13
AZ,rip.psg.com.,2001:418:1::39
AZ,ns3.intrans.AZ.,2a01:4f8:201:52f3::3
AXA,ns3.dns.nic.AXA.,2610:a1:1073::14
AXA,a.nic.AXA.,2001:dcd:1::9
AXA,b.nic.AXA.,2001:dcd:2::9
AXA,c.nic.AXA.,2001:dcd:3::9
AXA,ns1.dns.nic.AXA.,2610:a1:1071::14
AXA,ns2.dns.nic.AXA.,2610:a1:1072::14
AUDIBLE,dnsb.nic.AUDIBLE.,2001:502:2eda::3
AUDIBLE,dnsc.nic.AUDIBLE.,2610:a1:1009::3
AUDIBLE,dnsd.nic.AUDIBLE.,2610:a1:1010::3
AUDIBLE,dns1.nic.AUDIBLE.,2a01:618:402::56
AUDIBLE,dns2.nic.AUDIBLE.,2401:fd80:402::56
AUDIBLE,dns3.nic.AUDIBLE.,2a01:618:406::56
AUDIBLE,dns4.nic.AUDIBLE.,2401:fd80:406::56
AUDIBLE,dnsa.nic.AUDIBLE.,2001:502:ad09::3
