domain,NS,IP
ACCOUNTANTS,v0n1.nic.ACCOUNTANTS.,65.22.33.31
ACCOUNTANTS,v2n1.nic.ACCOUNTANTS.,161.232.17.31
ACCOUNTANTS,v0n3.nic.ACCOUNTANTS.,161.232.16.31
AFL,c.nic.AFL.,37.209.196.9
AFL,y.nic.AFL.,156.154.173.82
AFL,a.nic.AFL.,37.209.192.9
AFL,z.nic.AFL.,156.154.174.82
AFL,b.nic.AFL.,37.209.194.9
AFL,x.nic.AFL.,156.154.172.82
AIRBUS,ac1.nstld.com.,192.42.173.30
AIRBUS,ac4.nstld.com.,192.42.176.30
AIRBUS,ac2.nstld.com.,192.42.174.30
AIRBUS,ac3.nstld.com.,192.42.175.30
AG,b2.cctld.afilias-nst.org.,199.249.124.1
AG,a2.cctld.afilias-nst.info.,199.249.116.1
AG,d0.cctld.afilias-nst.org.,199.254.62.1
AG,b0.cctld.afilias-nst.org.,199.254.60.1
AG,c0.cctld.afilias-nst.info.,199.254.61.1
AG,a0.cctld.afilias-nst.info.,199.254.59.1
AEG,v0n2.nic.AEG.,65.22.110.2
AEG,v0n1.nic.AEG.,65.22.109.2
AEG,v0n0.nic.AEG.,65.22.108.2
AEG,v0n3.nic.AEG.,161.232.32.2
AEG,v2n1.nic.AEG.,161.232.33.2
AEG,v2n0.nic.AEG.,65.22.111.2
AERO,a2.nic.AERO.,199.249.115.1
AERO,b2.nic.AERO.,199.249.123.1
AERO,a0.nic.AERO.,199.254.51.1
AERO,b0.nic.AERO.,199.254.52.1
AERO,c0.nic.AERO.,199.254.54.1
AIG,ns1.dns.nic.AIG.,156.154.144.6
AIG,ns2.dns.nic.AIG.,156.154.145.6
AIG,ns3.dns.nic.AIG.,156.154.159.6
AIG,a.nic.AIG.,37.209.192.9
AIG,b.nic.AIG.,37.209.194.9
AIG,c.nic.AIG.,37.209.196.9
AI,a.lactld.org.,200.0.68.10
AI,pch.whois.AI.,204.61.216.123
AI,anycastdns1-cz.nic.AI.,185.28.194.194
AI,anycastdns2-cz.nic.AI.,185.38.108.108
AIRTEL,ac2.nstld.com.,192.42.174.30
AIRTEL,ac1.nstld.com.,192.42.173.30
AIRTEL,ac3.nstld.com.,192.42.175.30
AIRTEL,ac4.nstld.com.,192.42.176.30
AGAKHAN,a0.nic.AGAKHAN.,65.22.44.1
AGAKHAN,b0.nic.AGAKHAN.,65.22.45.1
AGAKHAN,a2.nic.AGAKHAN.,65.22.47.1
AGAKHAN,c0.nic.AGAKHAN.,65.22.46.1
AIRFORCE,v0n0.nic.AIRFORCE.,65.22.32.34
AIRFORCE,v0n1.nic.AIRFORCE.,65.22.33.34
AIRFORCE,v0n2.nic.AIRFORCE.,65.22.34.34
AIRFORCE,v2n0.nic.AIRFORCE.,65.22.35.34
AIRFORCE,v0n3.nic.AIRFORCE.,161.232.16.34
AIRFORCE,v2n1.nic.AIRFORCE.,161.232.17.34
AGENCY,v0n0.nic.AGENCY.,65.22.24.2
AGENCY,v0n2.nic.AGENCY.,65.22.26.2
AGENCY,v0n3.nic.AGENCY.,161.232.12.2
AGENCY,v0n1.nic.AGENCY.,65.22.25.2
AGENCY,v2n0.nic.AGENCY.,65.22.27.2
AGENCY,v2n1.nic.AGENCY.,161.232.13.2
ALLFINANZ,a.nic.ALLFINANZ.,194.169.218.75
ALLFINANZ,c.nic.ALLFINANZ.,212.18.248.75
ALLFINANZ,d.nic.ALLFINANZ.,212.18.249.75
ALLFINANZ,b.nic.ALLFINANZ.,185.24.64.75
ALSACE,g.ext.nic.fr.,194.0.36.1
ALSACE,f.ext.nic.fr.,194.146.106.46
ALSACE,d.nic.fr.,194.0.9.1
AKDN,a2.nic.AKDN.,65.22.47.17
AKDN,b0.nic.AKDN.,65.22.45.17
AKDN,c0.nic.AKDN.,65.22.46.17
AKDN,a0.nic.AKDN.,65.22.44.17
ALLSTATE,c0.nic.ALLSTATE.,65.22.50.9
ALLSTATE,a2.nic.ALLSTATE.,65.22.51.9
ALLSTATE,b0.nic.ALLSTATE.,65.22.49.9
ALLSTATE,a0.nic.ALLSTATE.,65.22.48.9
ALSTOM,anycast24.irondns.net.,195.253.65.12
ALSTOM,anycast10.irondns.net.,195.253.64.12
ALSTOM,anycast23.irondns.net.,195.253.65.11
ALSTOM,anycast9.irondns.net.,195.253.64.11
AL,nsx.nic.AL.,194.0.11.108
AL,rip.psg.com.,147.28.0.39
AL,munnari.oz.au.,202.29.151.3
AL,ns1.nic.AL.,194.1.149.230
