domain,NS,IP
COACH,v2n1.nic.COACH.,161.232.17.41
COACH,v0n0.nic.COACH.,65.22.32.41
COACH,v2n0.nic.COACH.,65.22.35.41
COACH,v0n3.nic.COACH.,161.232.16.41
COACH,v0n1.nic.COACH.,65.22.33.41
COFFEE,v0n0.nic.COFFEE.,65.22.28.41
COFFEE,v0n3.nic.COFFEE.,161.232.14.41
COFFEE,v0n1.nic.COFFEE.,65.22.29.41
COFFEE,v0n2.nic.COFFEE.,65.22.30.41
COFFEE,v2n0.nic.COFFEE.,65.22.31.41
COFFEE,v2n1.nic.COFFEE.,161.232.15.41
CK,parau.oyster.net.CK.,202.65.32.128
CK,poiparau.oyster.net.CK.,202.65.32.127
CK,downstage.mcs.vuw.ac.nz.,130.195.6.10
CK,circa.mcs.vuw.ac.nz.,130.195.5.12
COMMBANK,c.nic.COMMBANK.,37.209.196.9
COMMBANK,b.nic.COMMBANK.,37.209.194.9
COMMBANK,a.nic.COMMBANK.,37.209.192.9
COMMBANK,z.nic.COMMBANK.,156.154.174.82
COMMBANK,y.nic.COMMBANK.,156.154.173.82
COMMBANK,x.nic.COMMBANK.,156.154.172.82
CN,ns.cernet.net.,103.137.60.44
CN,ns.cernet.net.,202.112.0.44
CN,a.dns.CN.,203.119.25.1
CN,b.dns.CN.,203.119.26.1
CN,c.dns.CN.,203.119.27.1
CN,d.dns.CN.,203.119.28.1
CN,e.dns.CN.,203.119.29.1
COMMUNITY,v0n1.nic.COMMUNITY.,65.22.25.10
COMMUNITY,v0n0.nic.COMMUNITY.,65.22.24.10
COMMUNITY,v0n2.nic.COMMUNITY.,65.22.26.10
COMMUNITY,v0n3.nic.COMMUNITY.,161.232.12.10
COMMUNITY,v2n0.nic.COMMUNITY.,65.22.27.10
COMMUNITY,v2n1.nic.COMMUNITY.,161.232.13.10
CM,ns.itu.ch.,156.106.192.121
CM,ns1.nic.CM.,195.24.205.60
CM,ns2.nic.CM.,195.24.205.61
CM,auth02.ns.uu.net.,198.6.1.82
CM,ns-cm.nic.fr.,194.0.9.1
CM,phloem.uoregon.edu.,128.223.32.35
CM,ns-cm.afrinic.net.,196.216.168.67
COLOGNE,dns.ryce-rsp.com.,194.0.11.114
COLOGNE,ns1.dns.business.,157.90.205.138
COLOGNE,ns1.ryce-rsp.com.,193.56.204.111
COMPARE,a.nic.COMPARE.,37.209.192.9
COMPARE,c.nic.COMPARE.,37.209.196.9
COMPARE,b.nic.COMPARE.,37.209.194.9
COMPARE,z.nic.COMPARE.,156.154.174.82
COMPARE,y.nic.COMPARE.,156.154.173.82
COMPARE,x.nic.COMPARE.,156.154.172.82
COMSEC,ac2.nstld.com.,192.42.174.30
COMSEC,ac1.nstld.com.,192.42.173.30
COMSEC,ac3.nstld.com.,192.42.175.30
COMSEC,ac4.nstld.com.,192.42.176.30
COMPANY,v0n2.nic.COMPANY.,65.22.26.36
COMPANY,v2n1.nic.COMPANY.,161.232.13.36
COMPANY,v0n0.nic.COMPANY.,65.22.24.36
COMPANY,v0n3.nic.COMPANY.,161.232.12.36
COMPANY,v0n1.nic.COMPANY.,65.22.25.36
COMPANY,v2n0.nic.COMPANY.,65.22.27.36
COMPUTER,v2n1.nic.COMPUTER.,161.232.15.19
COMPUTER,v0n1.nic.COMPUTER.,65.22.29.19
COMPUTER,v0n2.nic.COMPUTER.,65.22.30.19
COMPUTER,v0n3.nic.COMPUTER.,161.232.14.19
COMPUTER,v2n0.nic.COMPUTER.,65.22.31.19
COMPUTER,v0n0.nic.COMPUTER.,65.22.28.19
COM,m.gtld-servers.net.,192.55.83.30
COM,b.gtld-servers.net.,192.33.14.30
COM,f.gtld-servers.net.,192.35.51.30
COM,j.gtld-servers.net.,192.48.79.30
COM,h.gtld-servers.net.,192.54.112.30
COM,a.gtld-servers.net.,192.5.6.30
COM,l.gtld-servers.net.,192.41.162.30
COM,g.gtld-servers.net.,192.42.93.30
COM,i.gtld-servers.net.,192.43.172.30
COM,k.gtld-servers.net.,192.52.178.30
COM,c.gtld-servers.net.,192.26.92.30
COM,e.gtld-servers.net.,192.12.94.30
COM,d.gtld-servers.net.,192.31.80.30
CONDOS,v2n0.nic.CONDOS.,65.22.23.63
CONDOS,v0n0.nic.CONDOS.,65.22.20.63
CONDOS,v2n1.nic.CONDOS.,161.232.11.63
CONDOS,v0n2.nic.CONDOS.,65.22.22.63
CONDOS,v0n3.nic.CONDOS.,161.232.10.63
CONDOS,v0n1.nic.CONDOS.,65.22.21.63
CONSTRUCTION,v2n0.nic.CONSTRUCTION.,65.22.23.50
CONSTRUCTION,v0n1.nic.CONSTRUCTION.,65.22.21.50
CONSTRUCTION,v0n0.nic.CONSTRUCTION.,65.22.20.50
CONSTRUCTION,v0n2.nic.CONSTRUCTION.,65.22.22.50
CONSTRUCTION,v0n3.nic.CONSTRUCTION.,161.232.10.50
CONSTRUCTION,v2n1.nic.CONSTRUCTION.,161.232.11.50
CONSULTING,v0n1.nic.CONSULTING.,65.22.25.65
CONSULTING,v2n0.nic.CONSULTING.,65.22.27.65
CONSULTING,v2n1.nic.CONSULTING.,161.232.13.65
CONSULTING,v0n0.nic.CONSULTING.,65.22.24.65
CONSULTING,v0n2.nic.CONSULTING.,65.22.26.65
CONSULTING,v0n3.nic.CONSULTING.,161.232.12.65
COOP,ns01.trs-dns.com.,64.96.1.1
COOP,ns01.trs-dns.net.,64.96.2.1
COOP,ns01.trs-dns.info.,185.159.198.3
COOP,ns01.trs-dns.org.,185.159.197.3
CONTRACTORS,v2n1.nic.CONTRACTORS.,161.232.13.56
CONTRACTORS,v0n2.nic.CONTRACTORS.,65.22.26.56
CONTRACTORS,v2n0.nic.CONTRACTORS.,65.22.27.56
CONTRACTORS,v0n0.nic.CONTRACTORS.,65.22.24.56
CONTRACTORS,v0n1.nic.CONTRACTORS.,65.22.25.56
CONTRACTORS,v0n3.nic.CONTRACTORS.,161.232.12.56
COOKING,y.nic.COOKING.,156.154.173.82
COOKING,a.nic.COOKING.,37.209.192.10
COOKING,c.nic.COOKING.,37.209.196.10
COOKING,z.nic.COOKING.,156.154.174.82
COOKING,b.nic.COOKING.,37.209.194.10
COOKING,x.nic.COOKING.,156.154.172.82
CORSICA,f.ext.nic.fr.,194.146.106.46
CORSICA,d.nic.fr.,194.0.9.1
CORSICA,g.ext.nic.fr.,194.0.36.1
COUNTRY,ns01.trs-dns.org.,185.159.197.3
COUNTRY,ns01.trs-dns.net.,64.96.2.1
COUNTRY,ns01.trs-dns.com.,64.96.1.1
COUNTRY,ns01.trs-dns.info.,185.159.198.3
COOL,v0n3.nic.COOL.,161.232.12.38
COOL,v2n0.nic.COOL.,65.22.27.38
COOL,v2n1.nic.COOL.,161.232.13.38
COOL,v0n0.nic.COOL.,65.22.24.38
COOL,v0n1.nic.COOL.,65.22.25.38
COOL,v0n2.nic.COOL.,65.22.26.38
CONTACT,v0n2.nic.CONTACT.,65.22.26.34
CONTACT,v2n0.nic.CONTACT.,65.22.27.34
CONTACT,v2n1.nic.CONTACT.,161.232.13.34
CONTACT,v0n1.nic.CONTACT.,65.22.25.34
CONTACT,v0n3.nic.CONTACT.,161.232.12.34
CONTACT,v0n0.nic.CONTACT.,65.22.24.34
COURSES,z.nic.COURSES.,156.154.174.82
COURSES,c.nic.COURSES.,37.209.196.9
COURSES,b.nic.COURSES.,37.209.194.9
COURSES,y.nic.COURSES.,156.154.173.82
COURSES,x.nic.COURSES.,156.154.172.82
COURSES,a.nic.COURSES.,37.209.192.9
COUPON,c.nic.COUPON.,37.209.196.10
COUPON,ns2.dns.nic.COUPON.,156.154.145.217
COUPON,ns1.dns.nic.COUPON.,156.154.144.217
COUPON,b.nic.COUPON.,37.209.194.10
COUPON,ns3.dns.nic.COUPON.,156.154.159.217
COUPON,a.nic.COUPON.,37.209.192.10
CREDITUNION,ns01.trs-dns.org.,185.159.197.3
CREDITUNION,ns01.trs-dns.info.,185.159.198.3
CREDITUNION,ns01.trs-dns.com.,64.96.1.1
CREDITUNION,ns01.trs-dns.net.,64.96.2.1
CPA,z.nic.CPA.,156.154.174.82
CPA,y.nic.CPA.,156.154.173.82
CPA,x.nic.CPA.,156.154.172.82
CPA,b.nic.CPA.,37.209.194.9
CPA,a.nic.CPA.,37.209.192.9
CPA,c.nic.CPA.,37.209.196.9
COUPONS,v0n1.nic.COUPONS.,65.22.25.29
COUPONS,v0n2.nic.COUPONS.,65.22.26.29
COUPONS,v0n3.nic.COUPONS.,161.232.12.29
COUPONS,v2n0.nic.COUPONS.,65.22.27.29
COUPONS,v2n1.nic.COUPONS.,161.232.13.29
COUPONS,v0n0.nic.COUPONS.,65.22.24.29
CREDITCARD,v0n1.nic.CREDITCARD.,65.22.21.65
CREDITCARD,v0n0.nic.CREDITCARD.,65.22.20.65
CREDITCARD,v0n2.nic.CREDITCARD.,65.22.22.65
CREDITCARD,v0n3.nic.CREDITCARD.,161.232.10.65
CREDITCARD,v2n0.nic.CREDITCARD.,65.22.23.65
CREDITCARD,v2n1.nic.CREDITCARD.,161.232.11.65
CRICKET,ns3.dns.nic.CRICKET.,156.154.159.220
CRICKET,a.nic.CRICKET.,37.209.192.10
CRICKET,b.nic.CRICKET.,37.209.194.10
CRICKET,c.nic.CRICKET.,37.209.196.10
CRICKET,ns1.dns.nic.CRICKET.,156.154.144.220
CRICKET,ns2.dns.nic.CRICKET.,156.154.145.220
CROWN,a.ns.nic.CROWN.,185.159.197.5
CROWN,b.ns.nic.CROWN.,185.159.198.5
CROWN,c.ns.nic.CROWN.,45.142.220.101
CROWN,d.ns.nic.CROWN.,185.159.199.5
CREDIT,v0n0.nic.CREDIT.,65.22.32.54
CREDIT,v0n2.nic.CREDIT.,65.22.34.54
CREDIT,v2n1.nic.CREDIT.,161.232.17.54
CREDIT,v0n1.nic.CREDIT.,65.22.33.54
CREDIT,v0n3.nic.CREDIT.,161.232.16.54
CREDIT,v2n0.nic.CREDIT.,65.22.35.54
CR,a.lactld.org.,200.0.68.10
CR,de.nic.CR.,194.0.11.107
CR,p.nic.CR.,204.61.216.89
CR,dns.nic.CR.,200.107.82.100
CR,ca1.nic.CR.,185.159.197.100
CR,ca2.nic.CR.,185.159.198.100
CRS,a0.nic.CRS.,65.22.112.25
CRS,c0.nic.CRS.,65.22.114.25
CRS,b0.nic.CRS.,65.22.113.25
CRS,a2.nic.CRS.,65.22.115.25
CX,ns.anycast.nic.CX.,204.61.216.16
CX,ns2.anycastdns.cz.,185.28.194.194
CX,ns1.anycastdns.cz.,185.38.108.108
CRUISES,v0n0.nic.CRUISES.,65.22.24.30
CRUISES,v0n1.nic.CRUISES.,65.22.25.30
CRUISES,v2n0.nic.CRUISES.,65.22.27.30
CRUISES,v0n3.nic.CRUISES.,161.232.12.30
CRUISES,v0n2.nic.CRUISES.,65.22.26.30
CRUISES,v2n1.nic.CRUISES.,161.232.13.30
CUISINELLA,x.nic.CUISINELLA.,156.154.172.82
CUISINELLA,b.nic.CUISINELLA.,37.209.194.9
CUISINELLA,z.nic.CUISINELLA.,156.154.174.82
CUISINELLA,a.nic.CUISINELLA.,37.209.192.9
CUISINELLA,y.nic.CUISINELLA.,156.154.173.82
CUISINELLA,c.nic.CUISINELLA.,37.209.196.9
CYOU,b.nic.CYOU.,185.24.64.120
CYOU,c.nic.CYOU.,212.18.248.120
CYOU,d.nic.CYOU.,212.18.249.120
CYOU,a.nic.CYOU.,194.169.218.120
CRUISE,c0.nic.CRUISE.,65.22.194.25
CRUISE,a2.nic.CRUISE.,65.22.195.25
CRUISE,a0.nic.CRUISE.,65.22.192.25
CRUISE,b0.nic.CRUISE.,65.22.193.25
DAD,ns-tld5.charlestonroadregistry.com.,216.239.60.105
DAD,ns-tld4.charlestonroadregistry.com.,216.239.38.105
DAD,ns-tld1.charlestonroadregistry.com.,216.239.32.105
DAD,ns-tld3.charlestonroadregistry.com.,216.239.36.105
DAD,ns-tld2.charlestonroadregistry.com.,216.239.34.105
CU,ns2.ceniai.net.CU.,169.158.128.88
CU,ns.dns.br.,200.160.0.5
CU,ns.ceniai.net.CU.,169.158.128.136
CU,cu.cctld.authdns.ripe.net.,193.0.9.70
CU,ns2.gip.net.,204.59.1.222
CU,rip.psg.com.,147.28.0.39
CYMRU,dns1.nic.CYMRU.,213.248.219.3
CYMRU,dnsd.nic.CYMRU.,156.154.103.3
CYMRU,dns3.nic.CYMRU.,213.248.223.3
CYMRU,dns4.nic.CYMRU.,43.230.51.3
CYMRU,dns2.nic.CYMRU.,103.49.83.3
CYMRU,dnsb.nic.CYMRU.,156.154.101.3
CYMRU,dnsa.nic.CYMRU.,156.154.100.3
CYMRU,dnsc.nic.CYMRU.,156.154.102.3
CY,cynic4.dns.CY.,194.42.29.16
CY,estia.ics.forth.gr.,139.91.191.3
CY,ns4.apnic.net.,202.12.31.53
CY,cy-ns.anycast.pch.net.,204.61.216.44
CY,ns31.rcode0.net.,194.0.25.31
CY,cynic6.dns.CY.,194.42.29.5
DATSUN,l.gmoregistry.net.,37.209.198.4
DATSUN,a.gmoregistry.net.,37.209.192.4
DATSUN,b.gmoregistry.net.,37.209.194.4
DATSUN,k.gmoregistry.net.,37.209.196.4
DATE,ns2.dns.nic.DATE.,156.154.145.46
DATE,ns3.dns.nic.DATE.,156.154.159.46
DATE,a.nic.DATE.,37.209.192.10
DATE,b.nic.DATE.,37.209.194.10
DATE,c.nic.DATE.,37.209.196.10
DATE,ns1.dns.nic.DATE.,156.154.144.46
DANCE,v0n0.nic.DANCE.,65.22.24.50
DANCE,v0n1.nic.DANCE.,65.22.25.50
DANCE,v0n2.nic.DANCE.,65.22.26.50
DANCE,v0n3.nic.DANCE.,161.232.12.50
DANCE,v2n0.nic.DANCE.,65.22.27.50
DANCE,v2n1.nic.DANCE.,161.232.13.50
CV,ns.dns.CV.,41.221.192.220
CV,anyc.dnsnode.net.,194.58.198.135
CV,cv01.dns.pt.,185.39.208.18
CV,c.dns.pt.,204.61.216.105
DABUR,b0.nic.DABUR.,65.22.181.25
DABUR,a2.nic.DABUR.,65.22.183.25
DABUR,c0.nic.DABUR.,65.22.182.25
DABUR,a0.nic.DABUR.,65.22.180.25
DAY,ns-tld1.charlestonroadregistry.com.,216.239.32.105
DAY,ns-tld5.charlestonroadregistry.com.,216.239.60.105
DAY,ns-tld4.charlestonroadregistry.com.,216.239.38.105
DAY,ns-tld3.charlestonroadregistry.com.,216.239.36.105
DAY,ns-tld2.charlestonroadregistry.com.,216.239.34.105
DATA,b0.nic.DATA.,65.22.97.25
DATA,c0.nic.DATA.,65.22.98.25
DATA,a2.nic.DATA.,65.22.99.25
DATA,a0.nic.DATA.,65.22.96.25
CZ,a.ns.nic.CZ.,194.0.12.1
CZ,b.ns.nic.CZ.,194.0.13.1
CZ,c.ns.nic.CZ.,194.0.14.1
CZ,d.ns.nic.CZ.,193.29.206.1
DATING,v0n1.nic.DATING.,65.22.29.28
DATING,v0n2.nic.DATING.,65.22.30.28
DATING,v0n3.nic.DATING.,161.232.14.28
DATING,v2n0.nic.DATING.,65.22.31.28
DATING,v2n1.nic.DATING.,161.232.15.28
DATING,v0n0.nic.DATING.,65.22.28.28
DCLK,ns-tld2.charlestonroadregistry.com.,216.239.34.105
DCLK,ns-tld3.charlestonroadregistry.com.,216.239.36.105
DCLK,ns-tld5.charlestonroadregistry.com.,216.239.60.105
DCLK,ns-tld1.charlestonroadregistry.com.,216.239.32.105
DCLK,ns-tld4.charlestonroadregistry.com.,216.239.38.105
DEALER,d.nic.DEALER.,212.18.249.138
DEALER,b.nic.DEALER.,185.24.64.138
DEALER,c.nic.DEALER.,212.18.248.138
DEALER,a.nic.DEALER.,194.169.218.138
DDS,z.nic.DDS.,156.154.174.82
DDS,b.nic.DDS.,37.209.194.10
DDS,c.nic.DDS.,37.209.196.10
DDS,y.nic.DDS.,156.154.173.82
DDS,x.nic.DDS.,156.154.172.82
DDS,a.nic.DDS.,37.209.192.10
DELIVERY,v0n0.nic.DELIVERY.,65.22.28.48
DELIVERY,v0n1.nic.DELIVERY.,65.22.29.48
DELIVERY,v2n0.nic.DELIVERY.,65.22.31.48
DELIVERY,v0n3.nic.DELIVERY.,161.232.14.48
DELIVERY,v0n2.nic.DELIVERY.,65.22.30.48
DELIVERY,v2n1.nic.DELIVERY.,161.232.15.48
DE,l.de.net.,77.67.63.105
DE,n.de.net.,194.146.107.6
DE,s.de.net.,195.243.137.26
DE,z.nic.DE.,194.246.96.1
DE,a.nic.DE.,194.0.0.53
DE,f.nic.DE.,81.91.164.5
DELOITTE,b.nic.DELOITTE.,185.24.64.80
DELOITTE,a.nic.DELOITTE.,194.169.218.80
DELOITTE,c.nic.DELOITTE.,212.18.248.80
DELOITTE,d.nic.DELOITTE.,212.18.249.80
DELL,c.nic.DELL.,37.209.196.9
DELL,b.nic.DELL.,37.209.194.9
DELL,a.nic.DELL.,37.209.192.9
DELL,ns3.dns.nic.DELL.,156.154.159.47
DELL,ns2.dns.nic.DELL.,156.154.145.47
DELL,ns1.dns.nic.DELL.,156.154.144.47
CW,ns0.ja.net.,193.63.94.20
CW,ns0.ja.net.,128.86.1.20
CW,ns01-server.curinfo.CW.,65.208.122.36
CW,kadushi.curinfo.CW.,65.208.122.63
CW,cw.cctld.authdns.ripe.net.,193.0.9.86
CW,ns2.bna.CW.,216.122.189.86
CW,ns1.dns.CW.,194.0.28.6
CW,ns1.bna.CW.,216.122.189.85
DEALS,v0n3.nic.DEALS.,161.232.10.15
DEALS,v0n2.nic.DEALS.,65.22.22.15
DEALS,v2n0.nic.DEALS.,65.22.23.15
DEALS,v0n0.nic.DEALS.,65.22.20.15
DEALS,v2n1.nic.DEALS.,161.232.11.15
DEALS,v0n1.nic.DEALS.,65.22.21.15
DEAL,dns2.nic.DEAL.,103.49.82.65
DEAL,dns1.nic.DEAL.,213.248.218.65
DEAL,dnsb.nic.DEAL.,156.154.101.3
DEAL,dns4.nic.DEAL.,43.230.50.65
DEAL,dnsd.nic.DEAL.,156.154.103.3
DEAL,dnsc.nic.DEAL.,156.154.102.3
DEAL,dnsa.nic.DEAL.,156.154.100.3
DEAL,dns3.nic.DEAL.,213.248.222.65
DEGREE,v0n3.nic.DEGREE.,161.232.12.61
DEGREE,v2n1.nic.DEGREE.,161.232.13.61
DEGREE,v2n0.nic.DEGREE.,65.22.27.61
DEGREE,v0n2.nic.DEGREE.,65.22.26.61
DEGREE,v0n0.nic.DEGREE.,65.22.24.61
DEGREE,v0n1.nic.DEGREE.,65.22.25.61
DELTA,b0.nic.DELTA.,65.22.225.25
DELTA,a2.nic.DELTA.,65.22.227.25
DELTA,a0.nic.DELTA.,65.22.224.25
DELTA,c0.nic.DELTA.,65.22.226.25
DESIGN,x.nic.DESIGN.,156.154.172.82
DESIGN,c.nic.DESIGN.,37.209.196.10
DESIGN,a.nic.DESIGN.,37.209.192.10
DESIGN,b.nic.DESIGN.,37.209.194.10
DESIGN,z.nic.DESIGN.,156.154.174.82
DESIGN,y.nic.DESIGN.,156.154.173.82
DHL,c.nic.DHL.,212.18.248.82
DHL,d.nic.DHL.,212.18.249.82
DHL,b.nic.DHL.,185.24.64.82
DHL,a.nic.DHL.,194.169.218.82
DEV,ns-tld4.charlestonroadregistry.com.,216.239.38.105
DEV,ns-tld5.charlestonroadregistry.com.,216.239.60.105
DEV,ns-tld1.charlestonroadregistry.com.,216.239.32.105
DEV,ns-tld3.charlestonroadregistry.com.,216.239.36.105
DEV,ns-tld2.charlestonroadregistry.com.,216.239.34.105
DIET,c.nic.DIET.,212.18.248.145
DIET,a.nic.DIET.,194.169.218.145
DIET,b.nic.DIET.,185.24.64.145
DIET,d.nic.DIET.,212.18.249.145
DEMOCRAT,v0n1.nic.DEMOCRAT.,65.22.33.32
DEMOCRAT,v0n2.nic.DEMOCRAT.,65.22.34.32
DEMOCRAT,v0n3.nic.DEMOCRAT.,161.232.16.32
DEMOCRAT,v2n0.nic.DEMOCRAT.,65.22.35.32
DEMOCRAT,v2n1.nic.DEMOCRAT.,161.232.17.32
DEMOCRAT,v0n0.nic.DEMOCRAT.,65.22.32.32
DENTIST,v2n0.nic.DENTIST.,65.22.27.27
DENTIST,v0n1.nic.DENTIST.,65.22.25.27
DENTIST,v2n1.nic.DENTIST.,161.232.13.27
DENTIST,v0n2.nic.DENTIST.,65.22.26.27
DENTIST,v0n3.nic.DENTIST.,161.232.12.27
DENTIST,v0n0.nic.DENTIST.,65.22.24.27
DESI,dns2.emdns.uk.,103.49.81.153
DESI,dnsb.emdns.uk.,156.154.101.3
DESI,dns4.emdns.uk.,43.230.49.153
DESI,dnsd.emdns.uk.,156.154.103.3
DESI,dnsa.emdns.uk.,156.154.100.3
DESI,dns1.emdns.uk.,213.248.217.153
DESI,dnsc.emdns.uk.,156.154.102.3
DESI,dns3.emdns.uk.,213.248.221.153
DIAMONDS,v0n2.nic.DIAMONDS.,65.22.26.60
DIAMONDS,v2n1.nic.DIAMONDS.,161.232.13.60
DIAMONDS,v0n3.nic.DIAMONDS.,161.232.12.60
DIAMONDS,v0n1.nic.DIAMONDS.,65.22.25.60
DIAMONDS,v2n0.nic.DIAMONDS.,65.22.27.60
DIAMONDS,v0n0.nic.DIAMONDS.,65.22.24.60
DIGITAL,v2n1.nic.DIGITAL.,161.232.11.36
DIGITAL,v2n0.nic.DIGITAL.,65.22.23.36
DIGITAL,v0n0.nic.DIGITAL.,65.22.20.36
DIGITAL,v0n3.nic.DIGITAL.,161.232.10.36
DIGITAL,v0n2.nic.DIGITAL.,65.22.22.36
DIGITAL,v0n1.nic.DIGITAL.,65.22.21.36
DIY,ns01.trs-dns.org.,185.159.197.3
DIY,ns01.trs-dns.info.,185.159.198.3
DIY,ns01.trs-dns.com.,64.96.1.1
DIY,ns01.trs-dns.net.,64.96.2.1
DENTAL,v2n1.nic.DENTAL.,161.232.13.49
DENTAL,v0n2.nic.DENTAL.,65.22.26.49
DENTAL,v0n3.nic.DENTAL.,161.232.12.49
DENTAL,v2n0.nic.DENTAL.,65.22.27.49
DENTAL,v0n1.nic.DENTAL.,65.22.25.49
DENTAL,v0n0.nic.DENTAL.,65.22.24.49
DISCOVER,b.nic.DISCOVER.,37.209.194.9
DISCOVER,c.nic.DISCOVER.,37.209.196.9
DISCOVER,ns1.dns.nic.DISCOVER.,156.154.144.48
DISCOVER,ns2.dns.nic.DISCOVER.,156.154.145.48
DISCOVER,ns3.dns.nic.DISCOVER.,156.154.159.48
DISCOVER,a.nic.DISCOVER.,37.209.192.9
DIRECT,v0n1.nic.DIRECT.,65.22.25.46
DIRECT,v0n2.nic.DIRECT.,65.22.26.46
DIRECT,v0n3.nic.DIRECT.,161.232.12.46
DIRECT,v2n1.nic.DIRECT.,161.232.13.46
DIRECT,v0n0.nic.DIRECT.,65.22.24.46
DIRECT,v2n0.nic.DIRECT.,65.22.27.46
DIRECTORY,v2n1.nic.DIRECTORY.,161.232.15.11
DIRECTORY,v0n0.nic.DIRECTORY.,65.22.28.11
DIRECTORY,v0n1.nic.DIRECTORY.,65.22.29.11
DIRECTORY,v0n2.nic.DIRECTORY.,65.22.30.11
DIRECTORY,v0n3.nic.DIRECTORY.,161.232.14.11
DIRECTORY,v2n0.nic.DIRECTORY.,65.22.31.11
DNP,k.gmoregistry.net.,37.209.196.4
DNP,b.gmoregistry.net.,37.209.194.4
DNP,l.gmoregistry.net.,37.209.198.4
DNP,a.gmoregistry.net.,37.209.192.4
DK,b.nic.DK.,193.163.102.222
DK,c.nic.DK.,185.159.199.45
DK,h.nic.DK.,46.30.126.214
DK,l.nic.DK.,130.226.213.138
DK,p.nic.DK.,194.0.47.42
DK,s.nic.DK.,194.0.28.7
DISCOUNT,v0n3.nic.DISCOUNT.,161.232.14.57
DISCOUNT,v0n2.nic.DISCOUNT.,65.22.30.57
DISCOUNT,v0n0.nic.DISCOUNT.,65.22.28.57
DISCOUNT,v0n1.nic.DISCOUNT.,65.22.29.57
DISCOUNT,v2n0.nic.DISCOUNT.,65.22.31.57
DISCOUNT,v2n1.nic.DISCOUNT.,161.232.15.57
DISH,a2.nic.DISH.,65.22.91.33
DISH,b0.nic.DISH.,65.22.89.33
DISH,c0.nic.DISH.,65.22.90.33
DISH,a0.nic.DISH.,65.22.88.33
DOCS,ns-tld5.charlestonroadregistry.com.,216.239.60.105
DOCS,ns-tld1.charlestonroadregistry.com.,216.239.32.105
DOCS,ns-tld2.charlestonroadregistry.com.,216.239.34.105
DOCS,ns-tld4.charlestonroadregistry.com.,216.239.38.105
DOCS,ns-tld3.charlestonroadregistry.com.,216.239.36.105
DM,ns01.trs-dns.net.,64.96.2.1
DM,ns34.cdns.net.,194.0.1.34
DM,ns.blacknightsolutions.com.,81.17.240.204
DM,ns2.nic.DM.,199.127.196.35
DM,ns2.blacknightsolutions.com.,78.153.202.4
DM,ns01.trs-dns.com.,64.96.1.1
DOWNLOAD,ns1.dns.nic.DOWNLOAD.,156.154.144.50
DOWNLOAD,ns3.dns.nic.DOWNLOAD.,156.154.159.50
DOWNLOAD,b.nic.DOWNLOAD.,37.209.194.10
DOWNLOAD,a.nic.DOWNLOAD.,37.209.192.10
DOWNLOAD,c.nic.DOWNLOAD.,37.209.196.10
DOWNLOAD,ns2.dns.nic.DOWNLOAD.,156.154.145.50
DOMAINS,v0n0.nic.DOMAINS.,65.22.32.51
DOMAINS,v0n1.nic.DOMAINS.,65.22.33.51
DOMAINS,v0n2.nic.DOMAINS.,65.22.34.51
DOMAINS,v0n3.nic.DOMAINS.,161.232.16.51
DOMAINS,v2n0.nic.DOMAINS.,65.22.35.51
DOMAINS,v2n1.nic.DOMAINS.,161.232.17.51
DRIVE,ns-tld4.charlestonroadregistry.com.,216.239.38.105
DRIVE,ns-tld5.charlestonroadregistry.com.,216.239.60.105
DRIVE,ns-tld2.charlestonroadregistry.com.,216.239.34.105
DRIVE,ns-tld1.charlestonroadregistry.com.,216.239.32.105
DRIVE,ns-tld3.charlestonroadregistry.com.,216.239.36.105
DURBAN,coza1.dnsnode.net.,194.146.106.74
DURBAN,nsp.netnod.se.,194.58.198.33
DOG,v0n2.nic.DOG.,65.22.34.45
DOG,v0n1.nic.DOG.,65.22.33.45
DOG,v2n0.nic.DOG.,65.22.35.45
DOG,v2n1.nic.DOG.,161.232.17.45
DOG,v0n3.nic.DOG.,161.232.16.45
DOG,v0n0.nic.DOG.,65.22.32.45
DOT,c0.nic.DOT.,65.22.94.1
DOT,b0.nic.DOT.,65.22.93.1
DOT,a2.nic.DOT.,65.22.95.1
DOT,a0.nic.DOT.,65.22.92.1
DUBAI,gtld.delta.aridns.net.au.,37.209.198.10
DUBAI,gtld.alpha.aridns.net.au.,37.209.192.10
DUBAI,gtld.beta.aridns.net.au.,37.209.194.10
DUBAI,gtld.gamma.aridns.net.au.,37.209.196.10
DO,a.lactld.org.,200.0.68.10
DO,ns.nic.DO.,190.113.72.177
DO,ns1.nic.DO.,190.113.72.178
DO,ns2.nic.DO.,190.113.65.12
DO,ns4.nic.DO.,204.61.216.124
DO,ns5.nic.DO.,190.113.65.13
DO,phloem.uoregon.edu.,128.223.32.35
DOCTOR,v2n1.nic.DOCTOR.,161.232.13.21
DOCTOR,v0n3.nic.DOCTOR.,161.232.12.21
DOCTOR,v2n0.nic.DOCTOR.,65.22.27.21
DOCTOR,v0n2.nic.DOCTOR.,65.22.26.21
DOCTOR,v0n1.nic.DOCTOR.,65.22.25.21
DOCTOR,v0n0.nic.DOCTOR.,65.22.24.21
DTV,a0.nic.DTV.,65.22.228.1
DTV,c0.nic.DTV.,65.22.230.1
DTV,a2.nic.DTV.,65.22.231.1
DTV,b0.nic.DTV.,65.22.229.1
DUPONT,ns4.dns.nic.DUPONT.,156.154.156.52
DUPONT,ns5.dns.nic.DUPONT.,156.154.157.52
